qqr_latin	qqr_kirill	ruscha
úylestiriw	үйлестириў	и. д. - от үйлестир- - 1) подгонка, приведение в соот
úyli	үйли	1) тот, кто имеет юрту
úyli-jaylı	үйли-жайлы	или үйли-күйли
-kúyli	-күйли	адам человек, имеющий
úymele-	үймеле-	собираться в - кучу
úymelen-	үймелен-	ооэвр. от үймелесобираться в - кучу, толпйться
úymeles-	үймелес-	взаимн. от үймелесобираться в - кучу, толпйться;
úymelestir-	үймелестир-	понуд. от үймелес- собирать в - кучу, создавать
úymelet-	үймелет-	понуд. от үймелесобирать в - кучу, создавать толуимелеў и. д. от уимеле
úyrek	үйрек	утка; / утйный; қызылбас
biliwdi	билиўди	үйренди он научйлся
aydawdı	айдаўды	уйрендим я научйлся
úyren-	үйрен-	научйться - плавать; енерди уйрен де жийрен поел, сна
uyrenisiw	уйренисиў	и. д. от уйрениспривычка друг к - другу; сбли
úyreniw	үйрениў	и. д. от - уйрен- - 1)
uyreniwshi	уйрениўши	ом. уйреншик
úyretti	үйретти	он огляделся в - темноте;
úyretiw	үйретиў	и. д. от уйрет- уче - ние, обучение
úyretiwshi	үйретиўши	1) учйтель; | обу
úyrettir-	үйреттир-	понуд. от үйретзаставить - учить, обучать
úysiz	үйсиз	1) бездомный; 2) не
úysiz-gúysiz	үйсиз-гүйсиз	бесприютный
úyt-	үйт-	палить, опаливать (напр
úytil-	үйтил-	страд, от үйт- палйться; быть опалённым (напр
úytis-	үйтис-	взаимн. от үйт- помо
úytiw	үйтиў	и. д. от үйт
úytpe	үйтпе	опалённый (напр. о ку
úyttir-	үйттир-	понуд. от үйт- за
úyttiriw	үйттириў	и. д. - от үйттир
úy-úskene	үй-үскене	1) домашнее иму
úyshi	үйши	1) мастер, делающий
úyshik	үйшик	1) садок для рыбы; 2)
úyshikle-	үйшикле-	1) собирать что-л
úyshikles-	үйшиклес-	взаимн. о т - уйшикле- - 1) помогать собирать что-л
úyshiklew	үйшиклеў	и. д. - от үйшикле- - 1) собирание чего-л. в кучу; 2)
úk-	үк-	толочь, растирать, раз
úke	үке	1) младший брат, младшая
úki	үки	II 1) фйлин; сова; сыч; 2)
úktir-	үктир-	понуд. от ук- заста
úlger-	үлгер-	успевать
úlgeriw	үлгериў	и. д. от улгер
úlgert-	үлгерт-	понуд. от улгер-. - улги - 1) примет), образец; ески
úlesiw	үлесиў	и. д. от улес- - делёж
ulestiriw	улестириў	и. д. от - улестирделёж, распределёние чего-л
úlkeyiw	үлкейиў	и. д. от - улкей- - 1)
úlkeytiw	үлкейтиў	и. д. - от үлкейт- - 1)
úlkelik	үлкелик	уст. - краевой; терри
úlkeme-úlke	үлкеме-үлке	по всем - краям
úlkensiniw	үлкенсиниў	и. д. от улкен
úlkensiw	үлкенсиў	и. д. от улкенси
ulpildew	улпилдеў	и. д. от улпилде
úmitgóy	үмитгөй	см. умитли
úmitgóylen-	үмитгөйлен-	см. умитлен
umitsizleniw	умитсизлениў	и. д. от умит
ún	үн	голос; звук; тон; үни өшти
shıqpaydı	шықпайды	погов. ^ один в поле
únde-	үнде-	говорить
úndeme-	үндеме-	смолчать, промолчать;
úndemes	үндемес	молчаливый, нераз
úndemesten	үндеместен	молча, тихо; үн
úndemew	үндемеў	и. д. от үндемемолчание
úndemewshilik	үндемеўшилик	молчание
únem	үнем	экономия; үнем қыл- эко
únemle-	үнемле-	экономить, беречь;
únemlep	үнемлеп	жумса- расходовать - что
únemlen-	үнемлен-	возвр.-страд. от үнемле- - экономиться, беречься; быть
únemlendir-	үнемлендир-	понуд. от үнемлен- заставить - экономить, бе
únemlet-	үнемлет-	понуд. от үнемлезаставить - экономить, беречь
únemli	үнемли	1) экономный; өндиристе электир күшин үнемли
paydalanıw	пайдаланыў	экономное исполь
únemlik	үнемлик	экономия, эконом
únemsiz	үнемсиз	неэкономный; материаллық затларды үнемсиз жумсаў неэкономное расходование
únemshil	үнемшил	1) экономный, бережлйвый; 2) жадный
únemshillik	үнемшиллик	умение - экономить
únles	үнлес	созвучный
únleslik	үнлеслик	1) созвучие; 2) лингв
únli	үнли	1) голосистый; звучный;
únsiz	үнсиз	1) без голоса; без звука;
úqgi-	үқги-	копать яму
úqgir	үқгир	пещера; грот
úcgirle-	үцгирле-	подкапывать
úcgirlen-	үцгирлен-	страд, от үцгирлеподкапываться; быть подкопан
úcgirlendir-	үцгирлендир-	понуд. от- үқ
úcgirlet-	үцгирлет-	понуд. от үцгирлезаставить - подкапывать
úngirlew	үнгирлеў	и. д. от үцгирле
úqgirlik	үқгирлик	местность, богатая
úqgiw	үқгиў	и. д. от үқги
úcik	үцик	рытвина
úqil-	үқил-	1) заглядывать; под
kitapqa	китапқа	уқилип отыр ои зачи
úcildir-	үцилдир-	понуд. - от үқил- - 1)
ÚNILIS-	ҮНИЛИС-	взаимн. - от үнил- - 1)
únilisiw	үнилисиў	и. д. от үқилис
úniliw	үнилиў	и. д. - от үдил
úqirey-	үқирей-	1) зиять; топтыц үнирейген аўзы зияющее дуло пуш
úcireyip	үцирейип	еки көзи қалған у него
úcireyiw	үцирейиў	и. д. от үнирей
únireyt-	үнирейт-	понуд. от үцирей
úcireytiw	үцирейтиў	и. д. - от үнирейт
úcirek	үцирек	1) зияющий; 2) вва
úp	үп	усилительная частица к - слова.м, начинающимся на ү: үп
-úlken	-үлкен	очень большой, огромный
úpildirik	үпилдирик	пушистая головка
úple-	үпле-	дуть; шыраны уплегасйть лампу; от үпле- разду
úples-	үплес-	взаимн. от үпле- - дуть
úplet-	үплет-	понуд. от үпле- за
uplew	уплеў	и. д. от үпле- раздува - ние; ОТТЫ үплеў раздувание огня
úr-	үр-	I лаять, тявкать (о со
joqta	жоқта	шошқа үреди - погов. ^ на
awızǵa	аўызға	салғандай погов. как
úrǵiz-	үрғиз-	II понуд. от ур- II
urgiziw	ургизиў	I и. д. от урғиз- I
úrǵiziw	үрғизиў	II и. д. от ургиз- II
urdisleniw	урдислениў	и. д. от - урдислен- - 1) перенимание обычаев; 2) при
úreyleniw	үрейлениў	и. д. от урейлен
úriw	үриў	I и. д. от ур- I лай, тяв
Úrker	Үркер	астр. Плеяды
urpeytiw	урпейтиў	и. д. от урпейт
úsiw	үсиў	и. д. от уси- обмороже
uskenelendiriw	ускенелендириў	и. д. от ускене
uskeneleniw	ускенелениў	и. д. от ускене
uskenelew	ускенелеў	и. д. от ускенеле- - оборудование {напр. завода)
baǵdıq	бағдық	устинен ө т -пройти через
ústine	үстине	шығар- - перебудоражить
-ústine	-үстине	одно за другим, подряд:
shıqtım	шықтым	я прямо в точку - попал;
waqıyanıq	ўақыянық	устине тап келди он
utiklew	утиклеў	и. д. от утикле- утюж - ка, глажка
uwle-	уўле-	гудеть (напр. о ветре)
uwlet-	уўлет-	понуд. от уўле-вызвать
uwlettir-	уўлеттир-	понуд. от уўлет
uwlew	уўлеў	и. д. от уўле- - гудение
ushew	ушеў	трое, втроём; ушеўин
ushewle-	ушеўле-	действовать - втроём
ushewlew	ушеўлеў	и. д. от ушеўле
waǵır	ўағыр	звукоподражание шу - му, крику, гомону
waǵırla-	ўағырла-	шуметь, кричать
uaǵırlı	уағырлы	шумный, крикливый
wajılDaq	ўажылДақ	крикун, горлан
wajıldas-	ўажылдас-	взаимн. от ўа
wajıldasıw	ўажылдасыў	и. д. - от ўажылд'ас
wajıldat-	ўажылдат-	понуд. от ўажылдавызвать - шум, крик
wajıldatıw	ўажылдатыў	и. д. от ўажылдат- - шум, крик
wajıldaw	ўажылдаў	и. д. - от ўажылдашум, крик
wajıldı	ўажылды	шум, крик
wazıypa	ўазыйпа	1) задача, цель; 2)
wazıypalı	ўазыйпалы	обязанный; ўазыйпалы бол- быть обязанным
way	ўай	межд. - ой1, ах1
wayran	ўайран	разрушение, разоре
wayranla-	ўайранла-	разрушать, разо
wayranlan-	ўайранлан-	еозер. - от ўайранларазрушаться, разоряться; быть
wayranlanıu	ўайранланыу	и. д. от ўайранлан- - разрушение, разорение;
wayranlaw	ўайранлаў	и. д. - от ўайранларазрушёние, разорение; ломка;
wayracla-	ўайрацла-	растянуться, лечь
wayraclat-	ўайрацлат-	понуд. от ўайранла-заставить - растянуться, лечь
wayraclaw	ўайрацлаў	и. д. от ўайрацла
way-way	ўай-ўай	звукоподраокание гром
way-wayla-	ўай-ўайла-	громко - плакать
way-waylas-	ўай-ўайлас-	взаимн. - от ўай
-wayla-	-ўайла-	громко плакать (по по
way-waylat-	ўай-ўайлат-	понуд. - от ўай
way-waylaw	ўай-ўайлаў	и. д. от ўай-ўайлагрбмкий - плач {по покойнику)
wayım	ўайым	1) забота; беспокойство;
wayım-qayǵı	ўайым-қайғы	печаль, грусть
wayımla-	ўайымла-	1) заботиться; бес
wayımlaǵısh	ўайымлағыш	см. ўайымшыл
wayımlan-	ўайымлан-	возвр. - от ўайымла- - 1) заботиться о себе; 2) ис
wayımlanıw	ўайымланыў	и. д. - от ўайымлан
wayımlas-	ўайымлас-	взаимн. от - уайымла- - 1) заботиться друг о друге;
wayımlat-	ўайымлат-	понуд. - от ўайымла- - 1) вызвать заботу; вызвать бес
wayımlaw	ўайымлаў	и. д. - от ўайымла- - 1) забота; беспокойство; 2) тоска
wayımlı	ўайымлы	печальный, груст
wayımsız	ўайымсыз	беззаботный, бес
wayımsızlıq	ўайымсызлық	беззаботность
wayımshıl	ўайымшыл	склонный к тос
wayımshıllıq	ўайымшыллық	печаль, грусть
waq	ўақ	разг. - см. ўақыт; ҳэзирги
waqiya	ўақия	случай; событие, про
waqtılı-waqtılı	ўақтылы-ўақтылы	см. ўақ
waqtınsha	ўақтынша	см. ўақытша
waktısız	ўактысыз	см. ўақытсыз
waqtı-waqtı	ўақты-ўақты	временами, периодйчески; ўақты-ўақты конкурслер өткерип тур- нужно
waqtıxosh	ўақтыхош	весёлый; радост
waqtıxoshlıq	ўақтыхошлық	1) хорошее на
qozǵalatuǵın	қозғалатуғын	ўақыт жетти вам
waqıtta	ўақытта	когда-то, некогда; ўактынша временно; өз ўақтында или ўақытында вовремя, свое
waqıtlı	ўақытлы	своеврёменный;/своеврёменно
QITSIZ	ҚЫТСЫЗ	ӨЛИМ безвременная гйбель
waqıtsha	ўақытша	врёменкый; / врёменно; ўақытша копир времен
waqıf	ўақыф	уст. - вакўф {земли
wacqılda-	ўацқылда-	визжать, скулить
wacqıldat-	ўацқылдат-	понуд. от ўақ
wanqıldaw	ўанқылдаў	и. д. - от ўанқылдавизг, вой {собаки)
warq	ўарқ	звукоподражание ква
warqılda-	ўарқылда-	1) квакать; қурбақа
warqıldadı	ўарқылдады	лягушка - квакала;
warqıldap	ўарқылдап	кулди он громко хо - хотал; 3) тратить, транжирить
warqıldaq	ўарқылдақ	мот, транжира; лег
warqıldat-	ўарқылдат-	понуд. от - уар
warqıldattır-	ўарқылдаттыр-	понуд. от уар
warqıldı	ўарқылды	кваканье; қурбақа
warıldaq	ўарылдақ	раза, горлопан
warıldaw	ўарылдаў	и. д. - от ўарылда
waswas	ўасўас	1) болтун; / болтливый;
waswaslan-	ўасўаслан-	1) становиться
waswaslanıw	ўасўасланыў	и. д. - от ўасўаслан
waswaslık	ўасўаслык	1) болтлйвость; на
wat-	ўат-	раза, мельчйть, размель
watan	ўатан	родина, отечество, отчйзна; ўатанды қорғаў защйта
watandarlıq	ўатандарлық	отечественный;
watansız	ўатансыз	1) безродный, не
watıl-	ўатыл-	страд, от ўат- размель
watıw	ўатыў	и. д. от ўат- размель
waw-waw	ўаў-ўаў	звукоподражание со
wax	ўах	межд. - ай!; ўах, аўырып
wáde	ўәде	обещание; ўәде берди или
wádesin	ўәдесин	алды а) он взял слово
wedesin	ўэдесин	орынлады он выполнил
wedeles-	ўэделес-	уславливаться, уго
wádelesiw	ўәделесиў	и. д. от уэделес
wedelestir-	ўэделестир-	понуд. - от ўәделесзаставить уславливаться, уго
wádeli	ўәдели	условленный; ўәдели
wádesiz	ўәдесиз	не выполняющий свое
wádeskzlik	ўәдескзлик	непостоянство
wádeshil	ўәдешил	см. ўәделк
wej	ўэж	I 1) вещь; изделие; 2)
wáj	ўәж	бенен келдин? по какому
wejlestir-	ўэжлестир-	понуд. - от ўәжлесзаставить приводить доводы, за
wájli	ўәжли	1) имеющий какую-л
wákil	ўәкил	1) уполномоченный, до
wákillik	ўәкиллик	1) положение или
wákilxana	ўәкилхана	посольство; пред
weliy	ўэлий	1) пророк; 2) прорица
wáliylik	ўәлийлик	1) пророчество; 2)
wásiyat	ўәсият	1) завещание; завет;
fabrikalıq	фабрикалық	фабрйчный
filologiyalıq	филологиялық	филологиче
filosofiyalıq	философиялық	философский;
finanslıq	финанслық	финансовый
bólinbes	бөлинбес	фонд неделимый - фонд
foietikalıq	фоиетикалық	фонетический
formal'lıq	формальлық	формальность
umryoÚ	умрёҮ	его труды останутся;
xatshılıq	хатшылық	секретарство
ximiyaLIQ	химияЛЫҚ	химический
xirurgiyalıq	хирургиялық	хирургический
xojayınlıq	хожайынлық	господство; по
xorlıq	хорлық	унижённость, оскорблённость
uaqtı	уақты	ХОШЛЫҚ - благодушие; <С>
kórgenshe	көргенше	хош! до свидания!;
xoshlasıw	хошласыў	и. д, от хошласпрощание, расставание
XOSHLIQ	ХОШЛЫҚ	1) довольство, удовле
xoshwaq	хошўақ	см. ХОШЛЫҚ
dún'yası	дүньясы	животный - мир; зыянсыз ҳайўан или жуўас ҳайўан
bolıwǵa	болыўға	коммунисттин ҳакы
tús	түс	емес, ал ҳақыйқатлық не
qarrı	қарры	хаял пожилая - женщина;
barıw	барыў	ҳэжет необхоцймо - идти
sılıq	сылық	ҳәр кисиниц иси, жаманлыққа жақсылық ер кисиниц иси посл. платйть добром
SIZLIQ	СЫЗЛЫҚ	иске кесент т и й ги зе д и
cementlew	цементлеў	и. д. от цементлецементйрование
shabanlıq	шабанлық	медлительность; не
shabıwılǵa	шабыўылға	шабады погов. у
shabıwılla-	шабыўылла-	скакать карье - ром, галопом
shabıwıllat-	шабыўыллат-	п он уд. о т шабыўылла- заставить скакать - карьером, галопом
shabıwıllaw	шабыўыллаў	и. д. от шабы
shaǵlaw	шағлаў	и. д. от шагла- лико - вание, веселье
shaǵıl-	шағыл-	I ст рад, от шақ- I
shaǵılıs	шағылыс	1 отражение света
shaǵılıs-	шағылыс-	I отражаться; суўға
shaǵılıstır-	шағылыстыр-	I понуд. от ша
ǵılıstıratuǵın	ғылыстыратуғын	ослепитель
shaǵılıstırıw	шағылыстырыў	I и. д. от
shaǵılısıw	шағылысыў	I и. д. от шағы
shaǵımshı	шағымшы	жалобщик; сутяж
shaǵın	шағын	небольшой, ограничен
shaǵın-	шағын-	жаловаться
shaǵında	шағында	во время - чего-л.\
shaǵındır-	шағындыр-	понуд. от шағынзаставить - жаловаться; вызвать
shaǵınıw	шағыныў	и. д. от шағынжалоба. - шағыр; шағыр тас галька
shaǵırai-	шағыраи-	становиться - ясным
shaǵırayıw	шағырайыў	и. д. от - шағырай
Shaǵıw	Шағыў	I и. д. от шақ- 1 вы
shaǵıw	шағыў	II и. д. от шақ- II
shadlandırıw	шадландырыў	и. д. от шад
shadlanıw	шадланыў	и. д. от - шадланвесёлье, радость; довольство
shadlıq	шадлық	весёлье, радость; до
shadmanlıq	шадманлық	см. шадлық
juwıp-shayma	жуўып-шайма	а) не увйливай;
shayqa-	шайқа-	трясти, качать; бас
shayqala	шайқала	басады он ходит важ - но; он бестеги кыздай болып
shayqalǵan	шайқалған	жорға иноходец с
shayqalt-	шайқалт-	п он уд. от. шайқал
shayqalıw	шайқалыў	и. д. от шайқал
shayqas-	шайқас-	взаим н. от шайқа
shayqastır-	шайқастыр-	понуд. от шай
shayqat-	шайқат-	понуд. от шайқа
shayqattır-	шайқаттыр-	п онуд. от шай
shayqaw	шайқаў	и. д. от шайқа
shayqus	шайқус	коршун
shaymalaw	шаймалаў	и. д. от - шаймаланадоедание, назойливое приста
shaymalıq	шаймалық	надоёдливость, на
shaynaw	шайнаў	и. д. от шайна
shaypaltıw	шайпалтыў	и. д. от - шайпалтвыплёскивание (ж идкост и)
shaypalıw	шайпалыў	и. д. от - шайпалвыплёскивание (ж идкост и)
shaytanlıq	шайтанлық	1) чертовщйна, дья
shaytansıw	шайтансыў	и . д. от шайтан
shayıq	шайық	рел. - шейх, духовный
shayırlıq	шайырлық	1) поэтическое да
shaq	шақ	I рога; адам тилинен, мал шақынан байланады
shaq-	шақ-	II 1) жалить; хэррелер
shaqa	шақа	I ветка, сук
shaqal-	шақал-	поперхнуться. - шақа.та-рубйть, срубать (нап р
shaqalat-	шақалат-	понуд. от шақалазаставить - рубить, срубать (нап р
shaqalaw	шақалаў	и. д. от - шақаласрубание (напр. сучьев)
shaqalt-	шақалт-	п онуд. от шақал
shaqalı	шақалы	ветвистый, развеси
shaqalıw	шақалыў	и. д. о т шақал
shaqan	шақан	белоглазый (с белой
shaqap	шақап	1) отводной канал; 2)
shaqabı	шақабы	часть речи
shaqallan-	шақаллан-	выделяться, раз
shaqapsha	шақапша	подотдел; подраз
shaqap-shaqap	шақап-шақап	раздельно, от
shaqqanla-	шаққанла-	торопиться, спешйть
shaqqanlan-	шаққанлан-	ст - рад, от шақ
shaqqanlas-	шаққанлас-	взаим н. от шақ
shaqqanlastır-	шаққанластыр-	понуд. от шақ
qanlas-	қанлас-	заставить - торопйться
shaqqanlastırıw	шаққанластырыў	и. д. от
shaqqanlat-	шаққанлат-	п онуд. от шақ
shaqqanlatıw	шаққанлатыў	и. д. от шақ
shaqqanlıq	шаққанлық	проворство, рас
shaqqı	шаққы	складной перочинный
shaqlas-	шақлас-	взаим н. от шақла
shaqlaw	шақлаў	и. д. от - шақла- - 1)
shaqlı	шақлы	I имеющий рога, с
shaqmaq	шақмақ	1) кремень; / крем
shaqmaqla-	шақмақла-	колоть (сахар)
shaqmaqlat-	шақмақлат-	понуд. от шақ
maqla-	мақла-	заставить - колоть (сахар)
shaqmaqlı	шақмақлы	клетчатый, в клет
shaqtır-	шақтыр-	I п онуд. от шақ- I
shaqtırıw	шақтырыў	I и. д. от шақтыр
shaqsha	шақша	рожок (т абакерка) для
shaq-shaq	шақ-шақ	I звукоподраж ание
shaqshıy-	шақшый-	уставиться, вни
shaqshıyıp	шақшыйып	тур звёзды - йрко гО'
shaqshıyt-	шақшыйт-	понуд. от шақшыйзаставить - уставиться, внима
shaqshıyıw	шақшыйыў	и. д. от шақшый-. - шақылда- - 1) издавать резкий
shaqıldas-	шақылдас-	взаи.чн. о т шакылда
shaqıldat-	шақылдат-	понуд. от - шақылда- I) заставить издавать резкий
shaqıldaw	шақылдаў	и. д. от шакылда-. - шақыр- - 1) звать, приглашать;
shaqıradı	шақырады	погов. собака - лает
shaqırawıq	шақыраўық	1) крикун; 2) пе
shaqırla-	шақырла-	звенеть, лязгать
shaqırlat-	шақырлат-	понуд. от шакырла- вызвать - звон, лязг, скре
shaqırlaw	шақырлаў	и. д. от - шақырлазвон, лязг, скрежет
shaqırlı	шақырлы	звон, лязг, скрежет
shaqırt-	шақырт-	понуд. от - шақыр
shaqırtıl-	шақыртыл-	ст - рад, от ша
shaqırtıw	шақыртыў	и. д. от - шақыртзов, приглашение; созыв
shaqırtıwshi	шақыртыўши	тот, кто зовёт
shaqırıq	шақырық	I) вызов; 2) повест
shaqırıl-	шақырыл-	1) ст рад, от ша
shaqırım	шақырым	уст . верста {м ера
shaqırıs-	шақырыс-	взаим н. от - шақыр- - 1) звать друг друга, приглашать
shaqırmspa	шақырмспа	приглашение в
shaqırısıw	шақырысыў	и. д. о т шақырыс
shaqırıw	шақырыў	и. д. от - шақыр- - 1)
naqqa	наққа	шақырыўшы приглащающий в - гости
shalaǵay	шалағай	верхогляд; иске шалағай а) неработоспособный; б)
shalaǵaylan-	шалағайлан-	1) не доводить
shalaǵaylıq	шалағайлық	качества челове - ка, не доводящего дело до конца
shalaǵayım	шалағайым	1) тот, кто бе
shalalıq	шалалық	незаконченность, не
shalaclıq	шалацлық	озеро, покрытое гус
shalǵay	шалғай	I полы халата
shalǵam	шалғам	1) репа; 2) редька
shalǵı	шалғы	с.-х. - коса
shalǵız-	шалғыз-	см. шалдыр
shalǵın	шалғын	косьба, покос, сено
shaljaq	шалжақ	баловень; ./ балованый, избалованный
shaljaqla-	шалжақла-	баловаться
shaljaqlat-	шалжақлат-	понуд. от шалжақла- - баловать, избаловать
shaljaqlaw	шалжақлаў	и . д. от шалжақла- баловство
shalqasınan	шалқасынан	жатырған повален
shalqay-	шалқай-	выпячивать грудь и - живот; шалқайып отыр- си
shalqayt-	шалқайт-	понуд. от шалқай
shalqayıs-	шалқайыс-	взаим н. от шал
qay-	қай-	выпячивать грудь и - живот
shalqayıw	шалқайыў	и. д. от шалқайвыпячивание груди и живота. - шалқак, человек с выпяченной
shalqaqla-	шалқақла-	1) пятиться назад;
shalqaqlaw	шалқақлаў	и д . от шалқақла
shalqala-	шалқала-	с.ч. - шалқақла-; шал
qalap	қалап	тасла- бросаться навзничь
shalqar	шалқар	огромный; шалқар кел
shalqı-	шалқы-	1) раскйнуться, быть
shalqıt-	шалқыт-	п онуд. от шалқы
shalqıttır-	шалқыттыр-	п онуд. о т - шал
shalqıw	шалқыў	и. д. от шалқы-. - шалма: шалма қарма густая
shaltlatıw	шалтлатыў	и. д. о т шалтлат
shaltlıq	шалтлық	спешка
shalshıq	шалшық	1) грязь; / грязный;
shalshıqla-	шалшықла-	ходить по - грязи;
shalshıqlaw	шалшықлаў	и. д. от шалшықла- хождение по - грязи;
shalshıqshı	шалшықшы	зоол. - кулик
shalıq-	шалық-	1) быть усталым, утом
shalıqqan	шалыққан	усталый, утомлён
shalıqpas	шалықпас	неутомимый
shalıqtır-	шалықтыр-	понуд. от шалық
shalıqtırıw	шалықтырыў	и. д. от шалықтыр- утомление
arqanǵa	арқанға	шалын- запутаться в - верёвке; 3) быть зарезанным (о
shalıwlı	шалыўлы	I) обвязанный; 2)
shamalaw	шамалаў	и. д. от шамалаопределёние чего-л. - примерно
shamallaw	шамаллаў	и. д. от - шамаллапровётривание; освежёние
aytqanına	айтқанына	шамланбай-ақ қой
shamırqan-	шамырқан-	злобствовать
shamırqanıw	шамырқаныў	и. д. от - шамырк,ан- злобствование
shanaq	шанақ	I орбита {глазная)
shanshuwladı	шаншуўлады	у. меня колет серд
shanshuwlan-	шаншуўлан-	возвр. от шаншуўла
shanshuwlat-	шаншуўлат-	понуд. от шаншуўла- вызвать - колотьё {н ап р
shanshuwlaw	шаншуўлаў	и. д. от шакшуўла- - колотьё {напр. в боку)
shanıshqı	шанышқы	1) острога; гарпун;
shanıshqılaw	шанышқылаў	и. д. от - шанышк,ыла- прокалывание острогой
shanıshıw	шанышыў	и. д. от шаныш
jalǵızdıc	жалғыздыц	үни - шықпас
jayawdıc	жаяўдыц	шацы шықпас - посл
shacaraq	шацарақ	I) верхний купол
shacǵıt-	шацғыт-	пылйть, поднимать
shacǵıtıw	шацғытыў	и. д. от шацғыт
shacq	шацқ	звукоподр.-. шацқ етип
kúl-	күл-	звонко смеяться
shacqay	шацқай	ровно, точно, как раз;
shacqıldaw	шацқылдаў	и. д. от - шац
shaclaq	шацлақ	место стоянки живот - ных {где обычно образует ся м н о
shaclatıw	шацлатыў	и. д. от шацла
shanlıq	шанлық	пыльное - место
alaqanın	алақанын	шап еткизди он уда
shapalaqla-	шапалақла-	1) аплодировать;
shapalaqlaw	шапалақлаў	и. д. от шапа
shapqıla-	шапқыла-	м ногокр. от шап
shapqınshılıq	шапқыншылық	резня; избие
shapqır	шапқыр	резвый; / скакун
shapqısh	шапқыш	режущий; рубящий;
shaptırıw	шаптырыў	и. д. от шаптырустрбйство скачек
shapshaq	шапшақ	деревянная посуда
shap-shaq	шап-шақ	впору, как раз (об
shap-shaqeti	шап-шақэти	сапогй тебе впору
shapshıw	шапшыў	и. д. от шапшы-. - шар I точйло, точйльныи ка
sharasızlıq	шарасызлық	вынужденность
sharbaq	шарбақ	Г) двор; 2) изгородь
sharbaqshı	шарбақшы	тот, кто имеет
sharbayalıq	шарбаялық	1) сварливость; 2)
shardaq	шардақ	барак; / барачный
sharq	шарқ	кожаные - галоши; лапти
sharqana	шарқана	струна для - дутара
sharqat	шарқат	1) кашне; 2) шёлковая
sharqı-pálek	шарқы-пәлек	судьба, рок
shartaq	шартақ	чердак
shartıldaq	шартылдақ	производящий
shartıldauıq	шартылдауық	хлопушка (и г
sharwashılıq	шарўашылық	скотоводство
sharshaǵan	шаршаған	усталый, утомлён
sharshıǵa	шаршыға	жёлтый - песок, очи
sharıq	шарық	кустарный прядиль
sharıqla-	шарықла-	прясть (на к у с т а р
sharıqlat-	шарықлат-	понуд. от шарықлазаставить - прясть (на куст арн ом
sharıqlaw	шарықлаў	и. д. от - шарықлапрядёние (на куст арн ом ст анке)
shataq	шатақ	ссора, спор; скандал;
shataqlas-	шатақлас-	ссориться, спорить
shataqlasıw	шатақласыў	и. д. от шатақ
shataqlıq	шатақлық	спорный; скан
shataqshı	шатақшы	см. шатақшыл
shataqshıl	шатақшыл	спорщик; сканда
shatasıq	шатасық	путаница
shatasıw	шатасыў	и. д. от шатас
shatnaw	шатнаў	и. д. от шатна
shatpaq	шатпақ	1) мазня, каракули (на
shatpaqla-	шатпақла-	1) мазать, делать
shatpaqlat-	шатпақлат-	п онуд. от - шатпақла- - 1) заставить мазать, де
shatırlawıq	шатырлаўық	издающий - треск
shatıslıq	шатыслық	путаница
shawqımla-	шаўқымла-	шуметь, галдеть
shawqımlat-	шаўқымлат-	понуд. от шаў
qımla-	қымла-	вызывать - шум, галдёж
shawqımlaw	шаўқымлаў	и. д. от шаў
shawqımlı	шаўқымлы	см. шаўқымшыл
shawqımpaz	шаўқымпаз	см. шаукымшыл
shawqımsız	шаўқымсыз	без - шума; / бес
shawqımshıl	шаўқымшыл	крикун; сканда
shaw-shuw	шаў-шуў	крик, суматоха; шум
shawıp-shawıp	шаўып-шаўып	возглас^ к о т о
shashaq	шашақ	бахрома, кисть, кис
shashaqla-	шашақла-	украшать чт о-л. - кисточками, бахромой
shashaqlan-	шашақлан-	возвр. от шашақ- - ла
shashaqlas-	шашақлас-	взаим н. от шашақла- совместно украшать
shashaqlat-	шашақлат-	понуд. от шашақ
shashaqlattır-	шашақлаттыр-	п онуд. от шашақлат
shashaqlaw	шашақлаў	и. д. от шашақлаукрашёние чего-л. - кисточками
shashaqlı	шашақлы	имеющий - кисточки
shashawlanıw	шашаўланыў	и. д. от шашаў
shashbaw	шашбаў	кисти, ленты, впле
shashlıq	шашлық	шашлык
shashuw	шашуў	подарок (в честь р ож
shashıraw	шашыраў	и. д. от шашыраразбрызгивание
shashıw	шашыў	и. д. от - шаш- - 1) раз
sheltiyiw	шэлтийиў	и. д. от шэлтий
shempiyiw	шэмпийиў	и. д. от шэмпий
shedkildew	шэдкилдеў	и. д. от - шэнкилдекрик; визг
SHÁPIK	ШӘПИК	быстрый, проворный
SHÁLIKLIK	ШӘЛИКЛИК	быстрота, провор
SHÁPPIK	ШӘППИК	клей; / клейкий
shewildew	шэўилдеў	и. д. от шэўилдезвбнкий - лай {собаки)
shewker	шэўкер	1) веснушчатый; 2)
shewket	шэўкет	величие; сэн-шэўкет
-shewketle-	-шэўкетле-	придавать пышность
shewketli	шэўкетли	величественный
shewle	шэўле	национальное - кушанье
shewli	шэўли	название одной из по
shebekeyleniw	шебекейлениў	и. д. от шебе
Ózbekstan	Өзбекстан	хэм Туркменстан менен - шегаралас Кара-Калпакская
shegaralaw	шегаралаў	и. д. от шегарала
waqqa	ўаққа	шейин до сего - времени;
búginge	бүгинге	шейин до нынешнего - дня; саат ушке шейин до трёх
shektiriw	шектириў	и. д. от шектир-. - шекшек - 1) вид саранчй; 2)
